Etiqueta visible,URL anterior,URL nueva,Archivo físico,Estado,Acción,Razón
Machu Picchu (todo),/machu-picchu-tours.html,/machu-picchu-tours.html,machu-picchu-tours.html,activo,sin cambio,Ya existía y coincide con el propósito
Machu Picchu Full Days,/machu-picchu-full-days.html,/machu-picchu-full-days.html,machu-picchu-full-days.html,activo,sin cambio,Ya existía
Machu Picchu Overnight,/machu-picchu-overnight.html,/machu-picchu-overnight.html,machu-picchu-overnight.html,activo,etiqueta renombrada a "Machu Picchu 2 días / 1 noche",Nombre comercial más claro que "Overnight"
Paquetes con Machu Picchu,(no existía en el menú),/paquetes-cusco.html?destino=machu-picchu,paquetes-cusco.html,activo,filtrado (nuevo query param),Reutiliza catálogo existente en vez de crear landing
Trenes premium,/machu-picchu-premium-trains.html,/machu-picchu-premium-trains.html,machu-picchu-premium-trains.html,activo,sin cambio,Ya existía
Machu Picchu de lujo,/machu-picchu-hiram-bingham.html,/machu-picchu-hiram-bingham.html,machu-picchu-hiram-bingham.html,activo,sin cambio,Ya existía
Tours en Cusco,/cusco-tours.html,/cusco-tours.html,cusco-tours.html,activo,sin cambio,Ya existía
Valle Sagrado,(no existía en el menú),/all-experiences.html?destino=valle-sagrado,all-experiences.html,activo,filtrado (nuevo),Producto real ya existe en tours-cusco.json
Montaña de Colores,(no existía en el menú),/all-experiences.html?q=vinicunca,all-experiences.html,activo,filtrado (nuevo),Producto real ya existe en tours-cusco.json
Laguna Humantay,(no existía en el menú),/all-experiences.html?q=humantay,all-experiences.html,activo,filtrado (nuevo),Producto real ya existe en tours-cusco.json
Paquetes Cusco + Machu Picchu,/paquetes-cusco.html,/paquetes-cusco.html,paquetes-cusco.html,activo,sin cambio,Ya existía
Trekkings desde Cusco,/trekking-cusco.html,/trekking-cusco.html,trekking-cusco.html,activo,sin cambio,Ya existía
Ver todo Cusco,/todo-cusco.html,/todo-cusco.html,todo-cusco.html,activo,etiqueta renombrada,"""Todo Cusco"" -> ""Ver todo Cusco"" para lenguaje de acción"
Circuitos por Perú (todos),(nuevo top-level),/explora-peru.html,explora-peru.html,activo,reutilizado como hub principal,Ya existía como catálogo de paquetes-peru; solo se renombró el H1
